airport_id,ident,name,city,tower_frequency,is_closed,num_runway_water,num_helipad,longest_runway_length,longest_runway_width,num_runways,rating,altitude,lonx,laty
65959,ZLGM,Golmud Airport,Guolemude,None,0,0,0,15731,156,1,3,9343,94.78624725,36.40002441
65961,ZBAT,Baitang Airport,Baitang,None,0,0,0,11703,546,1,3,12854,97.12019348,32.82693481
65962,ZYLS,Yushu Batang Airport,Baitang,None,0,0,0,12461,127,1,3,12805,97.03631592,32.83647537
65965,ZUBD,Qamdo Bangda Airport,Yanduo,None,0,0,0,13721,138,1,3,14229,97.10670471,30.55591774
65966,ZUNZ,Nyingchi Airport,Mainling,None,0,0,0,9806,141,1,3,9679,94.33515167,29.30366135
65967,VE67,Machuka,Machuka,None,0,0,0,4121,82,1,3,6316,94.12606049,28.60246658
65968,VEAN,Along,Along,None,0,0,0,1122,82,1,3,817,94.80251312,28.17506599
65973,VEDZ,Daparijo,Daparijo,122.300Mhz,0,0,0,3058,82,1,1,832,94.22299957,27.9857254
65974,VEZO,Ziro Airport,None,None,0,0,0,3529,86,1,3,5403,93.82837677,27.58971405
65975,VE24,Sookerating,Sookerating,None,0,0,0,6529,147,1,3,436,95.57073212,27.55250931
65976,VECA,Chabua,Chabua,None,0,0,0,8979,145,1,3,367,95.11751556,27.46212196
65977,VEMN,Dibrugarh,Dibrugarh,118.250Mhz,0,0,0,6005,146,1,3,356,95.01734161,27.48357964
65978,VEPG,Pasighat,Pasighat,123.500Mhz,0,0,0,3645,257,1,1,512,95.33480835,28.06888962
65979,VEJT,Jorhat AB,Jorhat,123.500Mhz,0,0,0,10213,146,1,3,294,94.17401886,26.72913361
65980,VELR,Lilabari,North Lakhimpur,118.650Mhz,0,0,0,7465,141,1,3,330,94.09713745,27.29554367
65981,VE48,Teju New,Teju New,None,0,0,0,5316,94,1,3,750,96.13470459,27.94206619
65982,VYPT,Putao,Putao,118.700Mhz,0,0,0,6971,99,1,3,1483,97.42616272,27.33004951
65983,VE91,Vijaynagar Advanced Landing Ground,None,None,0,0,0,4054,71,1,3,4165,97.00318146,27.19359398
65984,VEMR,Dimapur,Dimapur,118.450Mhz,0,0,0,7510,145,1,3,478,93.77158356,25.88392258
65985,VYKI,Kanti,Kanti,118.700Mhz,0,0,0,5373,95,1,3,671,95.67468262,25.9887352
65986,VYMK,Pamti,Myitkyina,118.700Mhz,0,0,0,6996,144,1,3,478,97.35353088,25.38381958
65987,VYNP,West Nampong,Myitkyina,None,0,0,0,11017,205,1,3,470,97.29515076,25.35437584
66003,VEIM,Tulihal,Imphal,118.550Mhz,0,0,0,8990,138,1,3,2538,93.89720917,24.75964355
66004,VAIM,Imphal Airport,Imphal,None,0,0,0,1994,111,1,1,2572,93.92765045,24.8679142
66005,VYHL,Hommalin,Hommalin,118.700Mhz,0,0,0,12163,193,1,3,539,94.91414642,24.89911461
66006,VYBM,Banmaw,Banmaw,118.700Mhz,0,0,0,7495,100,1,3,375,97.24727631,24.27083969
66007,VYKL,Kalay,Kalay,118.700Mhz,0,0,0,6985,93,1,3,422,94.04889679,23.18903351
